MpCodigo;Divipola;Departamento;Municipio;Estimación Inseguridad Alimentaria Moderada-Grave;IRCA;Suficiencia de vías;Cantidad tipo de cultivos;temperature_2m_mean_c;NDVI;Pob rural;Cereales;Cultivos para condimentos, bebidas medicinales y aromáticas;Cultivos tropicales tradicionales;Frutales;Hortalizas;Leguminosas;Oleaginosas;Raíces y tubérculos;NDVI;EVI;NDMI;NDWI;MSI;BSI;NDBI;Zscore_NDVI;KPI;KPI_Quintile;Cluster
5147;05147;Antioquia;Carepa;0.371931169;1.4;8.544938789;5;25.63870968;0.749508434;0.280087141;320;0;402.5;386369.44;0;0;448;250;0.647680647;0.276654316;-0.646783683;0.582863716;-0.24313812;-0.276654316;0.280087141;1.058495227;0.316;Bajo;3
5148;05148;Antioquia;El Carmen De Viboral;0.255398986;2.6;12.70088194;6;13.80645161;0.682306142;0.406391907;151.52;0;5812.16;11768.49;16001.5;887.95;0;15227;0.518827723;0.258511611;-0.605418981;0.59969311;-0.215482443;-0.258511611;0.406391907;0.268088616;0.441;Medio;1
5150;05150;Antioquia;Carolina;0.221261236;1.2;12.84137219;4;15.18064516;0.676873918;0.242009132;0;0;9.07;1146;744;42.12;0;0;0.504908274;0.226933004;-0.600699518;0.700213404;-0.19955371;-0.226933004;0.242009132;0.70079574;0.1;Muy Bajo;1
5154;05154;Antioquia;Caucasia;0.31536267;0.8;7.941415334;4;26.21612903;0.661580665;0.107200324;12615;0;62;1911;375;0;0;0;0.542592795;0.212021757;-0.590930728;0.667126415;-0.162944351;-0.212021757;0.107200324;0.638200638;0.116;Muy Bajo;3
5172;05172;Antioquia;Chigorodó;0.354819971;0.8;7.374033704;5;25.59677419;0.747422954;0.160703585;5000.87;0;412.38;205040;0;0;19184.14;240;0.610319202;0.236704066;-0.645358083;0.631811077;-0.208257921;-0.236704066;0.160703585;1.213063688;0.188;Muy Bajo;3
5190;05190;Antioquia;Cisneros;0.298169317;57.3;9.710562536;5;19.79032258;0.731213889;0.12405866;46;0;91390.66;1159.25;0;12;0;128;0.544633138;0.212284295;-0.655990428;0.661477904;-0.17344068;-0.212284295;0.12405866;0.986132692;0.53;Medio;2
5197;05197;Antioquia;Cocorná;0.363521365;17.7;13.50221187;6;19.16774194;0.746922825;0.544284915;52;0;31520.05;5270;450;53;0;588;0.592942141;0.259587239;-0.657715377;0.593349065;-0.22398995;-0.259587239;0.544284915;0.444532672;0.829;Muy Alto;2
5206;05206;Antioquia;Concepción;0.349597016;1.5;16.81875823;5;16.92903226;0.672088687;0.564162754;0;0;2810.51;2243;390;351.4;0;1200;0.508203429;0.203407022;-0.592186549;0.709777586;-0.17724563;-0.203407022;0.564162754;0.797213819;0.444;Medio;1
5209;05209;Antioquia;Concordia;0.233146869;0.6;16.30009521;6;18.33870968;0.697336022;0.635383296;495;0;13598.71;10207.75;10800;10;0;20;0.531532899;0.208584378;-0.619517083;0.672201949;-0.171540499;-0.208584378;0.635383296;0.139531633;0.682;Alto;1
5212;05212;Antioquia;Copacabana;0.280335271;7.1;16.26777375;3;20.52258065;0.665801261;0.199280386;0;0;1105.3;148.6;1751;0;0;0;0.49317444;0.191095891;-0.601933002;0.696776826;-0.149292244;-0.191095891;0.199280386;0.928299007;0.063;Muy Bajo;1
5234;05234;Antioquia;Dabeiba;0.643635925;1;5.623270516;6;21.09677419;0.799886788;0.591422122;457.58;0;14663.93;6355.9;2492;722;0;7000;0.579193442;0.305820216;-0.694122492;0.537772104;-0.275475783;-0.305820216;0.591422122;1.70224584;0.827;Muy Alto;3
5237;05237;Antioquia;Donmatías;0.165013024;5.4;23.59947867;6;14.39354839;0.717387598;0.343909463;10.64;0;4388.79;11039.65;3196.6;7.68;0;2738;0.564476572;0.231406011;-0.639632127;0.640896094;-0.192232478;-0.231406011;0.343909463;1.17117981;0.128;Muy Bajo;1
5240;05240;Antioquia;Ebéjico;0.257975734;9.1;15.72905837;6;20.65806452;0.684584996;0.785204567;97;0;35786.73;7705;486;73;0;36;0.529829933;0.219229945;-0.603511451;0.652641062;-0.17908095;-0.219229945;0.785204567;0.095223122;0.883;Muy Alto;3
5250;05250;Antioquia;El Bagre;0.275295817;3.2;4.746610241;4;25.53548387;0.726483687;0.324163212;2561.94;0;128.8;1415.7;0;0;0;5787;0.586863347;0.285651191;-0.636894333;0.56504793;-0.242081585;-0.285651191;0.324163212;0.608980636;0.341;Bajo;3
